1.#QNAN
-1.#IND
-1.#IND
-1.#IND
-1.#IND
621.436
700.815
826.744
907.911
1023.73
1138.34
1217.27
1329.14
1407.62
1516.52
1624.5
1699.37
1803.49
1905.8
1975.98
2062.84
2154.87
2200.21
2282.35
2361.57
2429.58
2477.16
2545.14
2609.38
2661.02
2715.9
2783.53
2828.05
2873.33
3085.58
3056.75
3028.96
3002.15
2976.27
2951.26
2927.06
2903.65
2880.96
2858.97
2837.63
2816.92
2796.8
2777.24
2758.21
2739.7
2721.68
2704.12
2687
2670.31
2654.03
2638.14
2622.62
2607.46
2592.64
2578.16
2563.99
2550.13
2536.57
2523.29
2510.28
2497.54
2485.05
2472.81
2460.8
2449.03
2437.48
2426.14
2415.01
2404.08
2393.35
2382.81
2372.45
2362.26
2352.25
2342.41
2332.73
2323.21
2313.84
2304.63
2295.55
2286.62
2277.82
2269.16
2260.63
2252.23
2243.95
2235.79
2227.75
2219.82
2212
2204.29
2196.69
2189.2
2181.8
2174.5
2167.3
2160.2
2153.18
2146.26
2139.42
2132.68
2126.01
2119.43
2112.93
2106.51
2100.16
2093.89
2087.7
2081.57
2075.52
2069.54
2063.63
2057.78
2052
2046.29
2040.63
2035.04
2029.51
2024.04
2018.63
2013.28
2007.98
2002.73
1997.55
1992.41
1987.33
1982.3
1977.32
1972.39
1967.5
1962.67
1957.88
1953.14
1948.45
1943.8
1939.19
1934.63
1930.11
1925.63
1921.19
1916.8
1912.44
1908.12
1903.84
1899.6
1895.4
1891.24
1887.11
1883.01
1878.95
1874.93
1870.94
1866.99
1863.06
1859.17
1855.32
1851.49
1847.7
1843.93
1840.2
1836.5
1832.83
1829.18
1825.57
1821.98
1818.42
1814.89
1811.39
1807.91
1804.46
1801.04
1797.64
1794.27
1790.92
1787.6
1784.3
1781.02
1777.77
1774.55
1771.34
1768.16
1765.01
1761.87
1758.76
1755.67
1752.6
1749.55
1746.52
1743.52
1740.53
1737.57
1734.62
1731.7
1728.79
